,latitude,longitude,cluster_label,headline
0,42.73253,-84.55553,4,The Spread of Hepatitis E in Lansing has been Confirmed
1,41.58337,-87.50004,4,Hepatitis E Hits Hammond
2,41.08144,-81.51901,4,Authorities are Worried about the Spread of Hepatitis D in Akron
3,41.751979999999996,-87.97395,4,Rumors about Hepatitis C spreading in Darien have been refuted
4,37.974759999999996,-87.55585,4,Hepatitis D Symptoms Spread all over Evansville
5,36.21398,-83.29489000000001,4,Rumors about Hepatitis E Spreading in Morristown have been Refuted
6,46.54354,-87.39542,4,Marquette tests new cure for Hepatitis A
7,46.87719,-96.7898,4,The Spread of Hepatitis E in Fargo has been Confirmed
8,41.68338,-86.25001,4,How to Avoid Hepatitis E in South Bend
9,39.09973,-94.57857,0,Hepatitis B Comes to Kansas City
10,39.70471,-105.08136999999999,0,Lower Hospitalization in Lakewood after Hepatitis B Vaccine becomes Mandatory
11,32.50931,-92.1193,0,Lower Hospitalization in Monroe after Hepatitis D Vaccine becomes Mandatory
12,39.75554,-105.2211,0,Spike of Hepatitis C Cases in Golden
13,36.37285,-94.20881999999999,0,Schools in Bentonville Closed Due to Hepatitis B Outbreak
14,46.80833,-100.78374000000001,0,Hepatitis D Keeps Spreading in Bismarck
15,34.42083,-119.69819,3,Santa Barbara tests new cure for Hepatitis C
16,33.50169,-117.66255,3,Rumors about Hepatitis D Spreading in San Juan Capistrano have been Refuted
17,46.28569,-119.28446000000001,3,Richland Center is infested with Hepatitis B
18,37.55855,-122.27108,3,Hepatitis A re-emerges in Foster City
19,33.8303,-116.54529,3,Lower Hospitalization in Palm Springs after Hepatitis A Vaccine becomes Mandatory
20,41.39482,-73.45401,2,Hepatitis C Outbreak in Danbury
21,42.65258,-73.75623,2,Rumors about Hepatitis D spreading in Albany have been refuted
22,38.624559999999995,-76.93914000000001,2,How to Avoid Hepatitis B in Waldorf
23,41.05343,-73.53873,2,Hepatitis A re-emerges in Stamford
24,35.61266,-77.36635,2,Spike of Hepatitis B Cases in Greenville
25,40.562329999999996,-74.13986,2,Hepatitis A has not Left Staten Island
26,42.57509,-70.93005,2,Hepatitis D Keeps Spreading in Danvers
27,40.65844,-74.29959000000001,2,More people in Cranford are infected with Hepatitis A every year
28,39.04455,-77.11887,2,Hepatitis D Symptoms Spread all over North Bethesda
29,40.21705,-74.74294,2,How to Avoid Hepatitis B in Trenton
