,cities,latitude,longitude,countrycode,db_label
0,Miami,25.77427,-80.19366,US,0
1,New York City,40.71427,-74.00596999999999,US,0
2,Miami Beach,25.79065,-80.13005,US,0
3,Recife,-8.053889999999999,-34.88111,BR,0
4,Dallas,32.78306,-96.80667,US,0
5,Trinidad,-14.833329999999998,-64.9,BO,0
6,Houston,29.763279999999998,-95.36327,US,0
8,Atlanta,33.749,-84.38798,US,0
10,Brownsville,25.90175,-97.49748000000001,US,0
12,San Juan,-31.5375,-68.53639,AR,0
13,Galveston,29.30135,-94.7977,US,0
14,Manila,14.6042,120.9822,PH,1
15,Iloilo,10.69694,122.56443999999999,PH,1
16,Los Angeles,34.05223,-118.24368,US,0
18,Orlando,28.53834,-81.37924,US,0
21,Tampa,27.94752,-82.45843,US,0
22,Flint,43.01253,-83.68746,US,0
23,Baltimore,39.29038,-76.61219,US,0
24,London,51.50853,-0.12574000000000002,GB,2
25,Ho Chi Minh City,10.82302,106.62965,VN,1
26,Philadelphia,39.952329999999996,-75.16379,US,0
27,Boston,42.35843,-71.05977,US,0
28,Paris,48.85341,2.3488,FR,2
29,San Diego,32.715709999999994,-117.16471999999999,US,0
30,Bangkok,13.753979999999999,100.50144,TH,1
31,Beijing,39.9075,116.39723000000001,CN,1
32,Salvador,-12.971110000000001,-38.51083,BR,0
33,Kuala Lumpur,3.1412,101.68653,MY,1
34,Yangon,16.80528,96.15611,MM,1
35,Tallahassee,30.438259999999996,-84.28073,US,0
36,San Francisco,37.77493,-122.41942,US,0
37,Bethesda,38.98067,-77.10025999999999,US,0
38,Townsville,-19.266389999999998,146.80569,AU,3
39,Mandaluyong City,14.5832,121.0409,PH,1
40,Santa Rosa,14.312220000000002,121.11138999999999,PH,1
41,San Salvador,13.68935,-89.18718,SV,0
42,Cleveland,41.4995,-81.69541,US,0
43,Austin,30.26715,-97.74306,US,0
44,Piracicaba,-22.725279999999998,-47.64917,BR,0
45,Lima,-12.04318,-77.02824,PE,0
46,Toronto,43.700109999999995,-79.4163,CA,0
49,Brisbane,-27.467940000000002,153.02809,AU,3
51,Havana,23.133020000000002,-82.38304000000001,CU,0
52,Key West,24.555239999999998,-81.78163,US,0
53,Vancouver,49.24966,-123.11934,CA,0
54,Seattle,47.60621,-122.33207,US,0
55,Nashville,36.165890000000005,-86.78444,US,0
56,Saint Croix,17.727510000000002,-64.74698000000001,VI,0
57,Fort Collins,40.58526,-105.08442,US,0
58,Klang,3.03667,101.44333,MY,1
59,Guatemala City,14.640720000000002,-90.51326999999999,GT,0
60,Madison,43.07305,-89.40123,US,0
61,Sarasota,27.33643,-82.53065,US,0
62,Entebbe,0.05621,32.479490000000006,UG,4
65,Jacksonville,30.332179999999997,-81.65565,US,0
66,Shenzhen,22.54554,114.0683,CN,1
67,Caracas,10.488010000000001,-66.87919000000001,VE,0
68,Quezon City,14.6488,121.0509,PH,1
69,Sydney,-33.86785,151.20731999999998,AU,3
71,Pune,18.51957,73.85535,IN,1
72,Hanoi,21.0245,105.84116999999999,VN,1
74,Silver Spring,38.99067,-77.02609,US,0
75,Delhi,28.65195,77.23149000000001,IN,1
77,Belize City,17.49952,-88.19756,BZ,0
78,Campinas,-22.90556,-47.060829999999996,BR,0
79,Soyapango,13.710239999999999,-89.13989000000001,SV,0
80,Rome,41.89193,12.511330000000001,IT,2
81,Seoul,37.566,126.9784,KR,1
83,Mexico City,19.42847,-99.12765999999999,MX,0
84,Rochester,43.15478,-77.61556,US,0
85,El Paso,31.75872,-106.48693,US,0
87,Jakarta,-6.21462,106.84513000000001,ID,1
89,Salt Lake City,40.76078,-111.89105,US,0
90,San Antonio,29.424120000000002,-98.49363000000001,US,0
91,Kampala,0.31628,32.582190000000004,UG,4
92,Rockhampton,-23.38032,150.50595,AU,3
93,Tegucigalpa,14.0818,-87.20681,HN,0
94,Belo Horizonte,-19.92083,-43.93778,BR,0
95,Melbourne,-37.814,144.96331999999998,AU,3
96,Columbus,39.96118,-82.99879,US,0
97,Taipei,25.04776,121.53185,TW,1
98,Seminole,27.83975,-82.79120999999999,US,0
99,Antipolo,14.625779999999999,121.12251,PH,1
100,Bacoor,14.458960000000001,120.93851000000001,PH,1
101,Vero Beach,27.638640000000002,-80.39726999999999,US,0
102,Calamba,14.211670000000002,121.16528000000001,PH,1
103,Hollywood,34.09834,-118.32673999999999,US,0
104,Petaling Jaya,3.1072599999999997,101.60670999999999,MY,1
105,Johannesburg,-26.202270000000002,28.04363,ZA,4
106,Buenos Aires,-34.61315,-58.377230000000004,AR,0
107,Guangzhou,23.116670000000003,113.25,CN,1
108,Doral,25.81954,-80.35533000000001,US,0
109,Tokyo,35.6895,139.69171,JP,1
110,Hamilton,43.25011,-79.84963,CA,0
111,Savannah,32.08354,-81.09983000000001,US,0
112,Hyderabad,17.38405,78.45636,IN,1
